,Unnamed: 0,beta,rr_sus_slat,rr_sus_rec,r_clear,r_sc,adr,rr_inf_asym,rr_inf_cs,r_lat,p_primary,r_stab,r_react,r_relapse,r_relapse_td,r_relapse_tc,p_cs_pub,p_dx_pub,p_dx_pri,dur_succ,r_act,cas,k_covid
36,36,8.252666514554985,0.4560395297279291,0.2148604091625552,0.0359261018686311,0.2404031460250229,0.0086825401974923,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.254 -> 3.260(45%) -> 4.242(45%)),0.7876210783313832
37,37,8.170355938578963,0.5445402486570415,0.229350746683882,0.0211438960204074,0.1611081447611315,0.0415984140938122,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.197 -> 3.462(45%) -> 4.291(45%)),0.7876210783313832
38,38,8.737505962500439,0.3673521048939279,0.1584083801221468,0.0215662687862374,0.2345396316277966,0.0214970125436964,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.197 -> 3.431(45%) -> 4.139(45%)),0.7876210783313832
39,39,7.8130980294254915,0.512735853494267,0.2266949148099285,0.0285438459389449,0.1897541782877593,0.0221565847931279,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.121 -> 3.176(45%) -> 3.657(45%)),0.7876210783313832
40,40,7.580701762398905,0.5589431786317574,0.284558483438464,0.0318307080569271,0.1940444370426133,0.0114552429147346,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.115 -> 3.230(45%) -> 4.257(45%)),0.7876210783313832
41,41,10.115958596135028,0.2102488203501657,0.2164481510061917,0.0254441713796425,0.1810774396851979,0.024301713037649,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.140 -> 3.111(45%) -> 4.151(45%)),0.7876210783313832
42,42,8.294416339902929,0.4251381358273591,0.2849050867832787,0.0302481740737066,0.1982821503111951,0.02757637603919,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.267 -> 2.786(45%) -> 4.290(45%)),0.7876210783313832
43,43,7.646532627490433,0.4903935037179902,0.1419483137316246,0.0319015870835569,0.1740586006662852,0.0213934742080335,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.215 -> 3.019(45%) -> 4.214(45%)),0.7876210783313832
44,44,9.565028967489845,0.2683438959061009,0.158137289998479,0.0319989166756275,0.2182874701903149,0.0145195495787172,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.189 -> 3.657(45%) -> 4.004(45%)),0.7876210783313832
45,45,8.001713194526143,0.4222541384359431,0.2414288419951521,0.0289289568158851,0.1820076239439951,0.0076833736669185,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.098 -> 3.541(45%) -> 4.172(45%)),0.7876210783313832
46,46,7.924524735868033,0.4602008942285318,0.1577203668731963,0.0298354645364675,0.1555960469618018,0.0149281284509699,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.157 -> 2.897(45%) -> 4.300(45%)),0.7876210783313832
47,47,7.428742831403153,0.6823202989412116,0.2426602665635651,0.0220690083036973,0.2130944456504213,0.0022473816082516,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.197 -> 3.249(45%) -> 4.294(45%)),0.7876210783313832
48,48,9.127331091054725,0.222394839419475,0.2662906631171765,0.0312661690352304,0.1646835788665074,0.0272403098743285,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.126 -> 3.562(45%) -> 4.129(45%)),0.7876210783313832
49,49,9.564582594640626,0.3087340663817881,0.2985149136767919,0.0334920943946794,0.2210068436663895,0.038839703651242,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.224 -> 3.092(45%) -> 4.039(45%)),0.7876210783313832
50,50,8.305163823941454,0.4795625509961435,0.1956387148723028,0.023745573390462,0.2240768929710445,0.0190380793060933,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.192 -> 3.574(45%) -> 4.001(45%)),0.7876210783313832
51,51,8.891022162779132,0.4539274639117727,0.2731649372555051,0.0226871397761025,0.2448337687780215,0.0324817873489593,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.134 -> 2.985(45%) -> 4.037(45%)),0.7876210783313832
52,52,8.240062398720031,0.386804349369412,0.2879223978022015,0.0280875502692732,0.1629188369918119,0.0467403495907011,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.169 -> 3.705(45%) -> 3.982(45%)),0.7876210783313832
53,53,8.783769590826736,0.3489930060691624,0.2111842343484113,0.0345512738427259,0.2193957914793852,0.0330279180513379,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.230 -> 3.355(45%) -> 4.049(45%)),0.7876210783313832
54,54,8.51154970403993,0.3969951439059797,0.171464111610925,0.0296739510747718,0.2242885522325277,0.0248651257484532,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.226 -> 3.139(45%) -> 3.913(45%)),0.7876210783313832
55,55,8.314519972862186,0.403574952427122,0.2317286377428567,0.0268784565005996,0.2001945512532846,0.0354737560128295,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.180 -> 3.195(45%) -> 3.752(45%)),0.7876210783313832
56,56,10.560703543663529,0.2067295999250555,0.1527717111964693,0.0235652065658256,0.2247528744468532,0.0270547790857385,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.162 -> 3.611(45%) -> 3.907(45%)),0.7876210783313832
57,57,9.437048946498292,0.3059027089058685,0.2219530163148177,0.0321024255188555,0.2115138437519428,0.0371067449487931,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.249 -> 3.465(45%) -> 4.393(45%)),0.7876210783313832
58,58,9.039489637474944,0.2372186570495494,0.1651470672839436,0.0359302208159332,0.1535455773684821,0.0243728558845902,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.211 -> 3.076(45%) -> 4.187(45%)),0.7876210783313832
59,59,7.852347198959419,0.5245739575519512,0.2067536387906272,0.0324821705839336,0.1571487037635311,0.0015541885406374,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.202 -> 3.620(45%) -> 4.199(45%)),0.7876210783313832
60,60,8.247777035312257,0.3754374953868961,0.2207830132640781,0.031411740431356,0.1729920093543532,0.0244274148335057,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.228 -> 3.742(45%) -> 3.789(45%)),0.7876210783313832
61,61,8.209834918815924,0.2671006247073708,0.1474856975428166,0.0375295477726218,0.1820675682260567,0.0146834825658938,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.152 -> 3.130(45%) -> 4.265(45%)),0.7876210783313832
62,62,8.140474007022869,0.4502741819144403,0.2221183227374666,0.0307185081240904,0.2103269648185934,0.0077971026787695,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.159 -> 3.454(45%) -> 4.143(45%)),0.7876210783313832
63,63,8.140474007022869,0.4502741819144403,0.2221183227374666,0.0307185081240904,0.2103269648185934,0.0077971026787695,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.160 -> 3.421(45%) -> 3.744(45%)),0.7876210783313832
64,64,6.971532491245399,0.7892643378173438,0.1966542888101221,0.0342079874925354,0.1916736149551415,0.0297244556884873,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.321 -> 3.076(45%) -> 3.685(45%)),0.7876210783313832
65,65,8.206135475415845,0.4218696488517038,0.2635308657499141,0.0346870395716488,0.1932815027058212,0.0412382034962345,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.155 -> 3.251(45%) -> 3.985(45%)),0.7876210783313832
66,66,8.982017140409837,0.2990505711667931,0.1462756204805864,0.038737448648727,0.2272725114720976,0.0301820661141325,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.160 -> 3.501(45%) -> 3.695(45%)),0.7876210783313832
67,67,8.616262875995785,0.3523234663560329,0.2980477568847193,0.0363848346572357,0.248396982268756,0.02101171573423,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.124 -> 3.226(45%) -> 4.294(45%)),0.7876210783313832
68,68,8.619257744913845,0.5021731231613383,0.1846938612155562,0.0212020932189974,0.1848943500552874,0.042949460706139,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.256 -> 3.053(45%) -> 3.770(45%)),0.7876210783313832
69,69,6.971532491245399,0.7892643378173438,0.1966542888101221,0.0342079874925354,0.1916736149551415,0.0297244556884873,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.182 -> 3.574(45%) -> 3.777(45%)),0.7876210783313832
70,70,8.648847000577865,0.3162714925175593,0.2048554614675675,0.0313145716149435,0.2353703300401071,0.0002231189612112,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.134 -> 3.291(45%) -> 4.792(45%)),0.7876210783313832
71,71,8.323843604549612,0.3862868187530496,0.1706643694740224,0.0325580449500674,0.2259928552846931,0.0085201749870198,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.163 -> 2.722(45%) -> 4.635(45%)),0.7876210783313832
72,72,8.992345822043617,0.2742345534080714,0.2101402128494261,0.0332493153353671,0.2055367800766495,0.0263821555522048,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.116 -> 3.546(45%) -> 4.176(45%)),0.7876210783313832
73,73,8.871155987922089,0.2766718604214133,0.2436107949542299,0.0250440947896066,0.1649288123166585,0.0166033074074182,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.154 -> 3.325(45%) -> 4.107(45%)),0.7876210783313832
74,74,9.936220996734509,0.2167135939102204,0.2323014274963551,0.0264453040127386,0.172153806225763,0.0307606356315516,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.152 -> 3.061(45%) -> 4.642(45%)),0.7876210783313832
75,75,9.661392661078022,0.2911214807366963,0.1819760780990791,0.03064070187234,0.211150805826022,0.0475483562118196,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.154 -> 3.599(45%) -> 3.824(45%)),0.7876210783313832
76,76,7.582352558259106,0.5428482138967372,0.2942755935244728,0.0381364513670518,0.1633393937974563,0.0182607017716078,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.151 -> 3.165(45%) -> 4.375(45%)),0.7876210783313832
77,77,8.429819952396814,0.3908605523578596,0.2420386501584756,0.0335590750088841,0.1520644586736616,0.0405141830213934,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.181 -> 3.188(45%) -> 3.639(45%)),0.7876210783313832
78,78,9.086014115605735,0.3112872608362867,0.1961828049099401,0.0343346105319917,0.1810650896545101,0.0342013871494975,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.143 -> 3.107(45%) -> 4.343(45%)),0.7876210783313832
79,79,8.436399051183832,0.3832284780083577,0.2830840291567288,0.0335830674569474,0.1842001159628977,0.0168606310119222,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.127 -> 3.454(45%) -> 4.516(45%)),0.7876210783313832
80,80,8.232578007547765,0.4820966184039084,0.2446991494073244,0.0269513819196514,0.192862746164654,0.0355122875444685,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.174 -> 3.446(45%) -> 4.169(45%)),0.7876210783313832
81,81,9.564582594640626,0.3087340663817881,0.2985149136767919,0.0334920943946794,0.2210068436663895,0.038839703651242,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.212 -> 3.295(45%) -> 4.174(45%)),0.7876210783313832
82,82,8.033916240824912,0.3899160611925144,0.2420136587195242,0.0315670190606383,0.1870777433286753,0.0039035171727224,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.168 -> 3.189(45%) -> 4.532(45%)),0.7876210783313832
83,83,7.284876087983894,0.7165039465222502,0.2759729568014187,0.0259564326814897,0.1812418691754944,0.0190764133712374,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.163 -> 3.363(45%) -> 4.425(45%)),0.7876210783313832
84,84,8.876149227786447,0.2963742527655607,0.1774941571771963,0.0228170987366959,0.1634580945943977,0.04099093200793,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.284 -> 3.462(45%) -> 3.545(45%)),0.7876210783313832
85,85,9.085647459675886,0.2798840542064663,0.183924744241789,0.0245997193136598,0.1761202663083627,0.0140214186011671,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.227 -> 2.969(45%) -> 4.332(45%)),0.7876210783313832
86,86,7.8130980294254915,0.512735853494267,0.2266949148099285,0.0285438459389449,0.1897541782877593,0.0221565847931279,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.153 -> 4.044(45%) -> 4.094(45%)),0.7876210783313832
