,Unnamed: 0,beta,rr_sus_slat,rr_sus_rec,r_clear,r_sc,adr,rr_inf_asym,rr_inf_cs,r_lat,p_primary,r_stab,r_react,r_relapse,r_relapse_td,r_relapse_tc,p_cs_pub,p_dx_pub,p_dx_pri,dur_succ,r_act,cas,k_covid_2020,k_covid_2021
19,19,22.54003610053596,0.2238751405378079,0.2373670399318492,0.0332313277765942,0.1854213849307573,0.0820310569811993,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.536 -> 3.074(40%) -> 3.801(70%)),1.0,1.0
20,20,12.068839792472891,0.6190671018240435,0.2598296677628825,0.033363612442242,0.2380262763861077,0.0625831647177664,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.728 -> 3.393(40%) -> 3.096(70%)),1.0,1.0
21,21,16.219071270954558,0.3869678233722644,0.1832308727229246,0.0290826067895475,0.2334539390003128,0.0230594901942172,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.725 -> 3.749(40%) -> 5.665(70%)),1.0,1.0
22,22,20.351313913021706,0.2091421997340578,0.2044755003095543,0.0332175923757643,0.1604490696713719,0.0600081401936431,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.660 -> 2.872(40%) -> 4.175(70%)),1.0,1.0
23,23,20.966931351527503,0.250653582766415,0.2412755116275262,0.03144951202893,0.1884351875867239,0.0644196570640871,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.554 -> 3.688(40%) -> 3.276(70%)),1.0,1.0
24,24,13.472940691302767,0.5326942274807562,0.256992813979305,0.0295488634083514,0.161403345459482,0.0439726793514383,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.337 -> 3.723(40%) -> 5.376(70%)),1.0,1.0
25,25,11.234244873948008,0.5968252307848458,0.2856613922550327,0.026556397303651,0.2086671957889137,0.0449296415455915,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.414 -> 3.111(40%) -> 6.826(70%)),1.0,1.0
26,26,12.978183535398172,0.6079380525429152,0.1576088436538746,0.0213507394361131,0.2274859042826274,0.0478291339899376,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.631 -> 3.047(40%) -> 6.215(70%)),1.0,1.0
27,27,15.002888463879852,0.5087458566587761,0.1961736832955799,0.0307019216856008,0.2168003098760668,0.0657400041998994,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.494 -> 3.633(40%) -> 3.582(70%)),1.0,1.0
28,28,16.217634182562307,0.268151249832985,0.2785220679763406,0.030996338425647,0.2209909601070138,0.0425520829587091,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.362 -> 3.288(40%) -> 2.864(70%)),1.0,1.0
29,29,13.852743346023342,0.3506134039060484,0.2080929864934002,0.033469447810613,0.1793934269531955,0.0375278424274216,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.425 -> 3.310(40%) -> 4.787(70%)),1.0,1.0
30,30,12.686292446258536,0.6146149754545693,0.2680964450267027,0.0305389279648483,0.1550558281206011,0.0996627460964769,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.392 -> 3.668(40%) -> 4.595(70%)),1.0,1.0
31,31,13.045131156627686,0.4274442781425034,0.1619953152285359,0.0280665131391732,0.1888169164276439,0.0846835510157463,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.697 -> 3.082(40%) -> 5.184(70%)),1.0,1.0
32,32,13.031616293969428,0.6446085779975929,0.2227899083936224,0.0329906801936951,0.191442820097564,0.060496492104611,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.284 -> 3.430(40%) -> 4.212(70%)),1.0,1.0
33,33,12.075318563325252,0.4260573241961088,0.2328038031580906,0.0219731330413568,0.1592861313231705,0.0273461593234171,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.339 -> 2.911(40%) -> 3.469(70%)),1.0,1.0
34,34,17.624570300525946,0.3087892204525926,0.2871198277498751,0.0226588743218305,0.2212609976324977,0.0537750339517816,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.594 -> 3.885(40%) -> 3.260(70%)),1.0,1.0
35,35,20.87003011785656,0.2345288771446921,0.1507013593111656,0.0324139652068372,0.19632882512995,0.0519028253363971,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.422 -> 2.422(40%) -> 3.466(70%)),1.0,1.0
36,36,16.60002270645681,0.3613783048786999,0.1625815342892503,0.034096927518061,0.2128183819370908,0.0555599998849273,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.291 -> 3.149(40%) -> 5.360(70%)),1.0,1.0
37,37,13.634748291426368,0.4542913866379227,0.2850003552223333,0.0269225477142446,0.2097108353671243,0.0597787119835351,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.309 -> 3.153(40%) -> 3.688(70%)),1.0,1.0
38,38,14.72393275853241,0.3042869522953131,0.1558337228896232,0.0321202180525208,0.178081235252751,0.0273572809144236,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.391 -> 3.413(40%) -> 3.472(70%)),1.0,1.0
39,39,22.99989624082983,0.2159469894756227,0.21618805663692,0.0318342634228139,0.2019604378380481,0.0769525566812848,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.576 -> 3.623(40%) -> 3.777(70%)),1.0,1.0
40,40,18.529360807640032,0.2506445817108154,0.2880286234349632,0.0384128695413765,0.2246782228620593,0.0546217155130579,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.415 -> 4.009(40%) -> 4.889(70%)),1.0,1.0
41,41,12.531603496342653,0.5400696991299093,0.2721154684099888,0.0378622611070967,0.1562663995691169,0.0538192361687234,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.589 -> 3.447(40%) -> 4.734(70%)),1.0,1.0
42,42,19.07333675927112,0.2427254648059934,0.1513674873971128,0.029037017981221,0.2020667291112908,0.0521771971590587,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.439 -> 3.219(40%) -> 3.123(70%)),1.0,1.0
43,43,11.234244873948008,0.5968252307848458,0.2856613922550327,0.026556397303651,0.2086671957889137,0.0449296415455915,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.298 -> 4.208(40%) -> 4.579(70%)),1.0,1.0
44,44,17.54649414999935,0.3234377631480362,0.2581009116635165,0.0214945325197039,0.2173303948392218,0.046854193038855,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.499 -> 2.368(40%) -> 3.679(70%)),1.0,1.0
45,45,12.23827299057746,0.6908076951472635,0.2433608450469245,0.0235998776688982,0.1700013420786359,0.0686363601971163,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.669 -> 2.592(40%) -> 4.954(70%)),1.0,1.0
46,46,19.41559741411361,0.2519248964503083,0.2419530773221391,0.0344593538756944,0.1656618514982118,0.0688200487345704,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.566 -> 2.827(40%) -> 4.325(70%)),1.0,1.0
47,47,22.207191733292955,0.2402124916699093,0.1733991655021312,0.0218877877055043,0.2169166506057007,0.0554175316530134,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.466 -> 3.210(40%) -> 4.501(70%)),1.0,1.0
48,48,15.458463783397503,0.3429706902426276,0.2012572729551917,0.02659870559342,0.1588220332843212,0.0410235062614862,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.545 -> 2.965(40%) -> 3.757(70%)),1.0,1.0
49,49,16.315243548393553,0.3851688486549384,0.1863707649138797,0.0382364252512143,0.1795620381613609,0.0867870958679303,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.289 -> 2.803(40%) -> 3.847(70%)),1.0,1.0
50,50,14.854453031605477,0.4933892693242447,0.1820366176654473,0.0244355749881395,0.1790441828317047,0.0482247912492221,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.515 -> 3.524(40%) -> 3.583(70%)),1.0,1.0
51,51,16.66370128440168,0.4024213636411416,0.274043553802205,0.0280546181332879,0.2223350110914832,0.0784085644966575,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.398 -> 3.379(40%) -> 3.573(70%)),1.0,1.0
52,52,15.469604052032292,0.3045086389943292,0.3007518334437972,0.0246706871915506,0.183245579515655,0.0345218559943069,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.764 -> 2.794(40%) -> 4.133(70%)),1.0,1.0
53,53,16.219071270954558,0.3869678233722644,0.1832308727229246,0.0290826067895475,0.2334539390003128,0.0230594901942172,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.444 -> 3.297(40%) -> 4.414(70%)),1.0,1.0
54,54,16.97913317458857,0.383213344862679,0.1661263575692451,0.0266097109684446,0.1801662897550235,0.0641305470886772,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.234 -> 3.101(40%) -> 3.743(70%)),1.0,1.0
55,55,16.40542669577436,0.3430331164466726,0.2374538581175712,0.0257675108256972,0.2381618819307799,0.0487168273435082,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.621 -> 2.419(40%) -> 3.348(70%)),1.0,1.0
