,beta,rr_sus_slat,rr_sus_rec,p_primary,r_clear,r_sc,irr_hiv,adr,irr_art,rr_inf_asym,rr_inf_cs,r_lat,r_stab,r_react,r_relapse,r_relapse_td,r_relapse_tc,dur_succ,r_act,cas
13,17.58095787849369,0.6566527758147916,0.24547640655810532,0.09598009377817365,0.021490141985707978,0.23730795770706523,29.80533940175698,-0.04584363672818279,0.5036146277735412,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.053085166110613424,Cascade(1.383 -> 2.595(0%) -> 4.852(100%))
14,20.339620940703803,0.4453410839126403,0.23595893083713199,0.10502177384032299,0.02913758611784209,0.1692330665263501,18.056978532556908,-0.06349126628200993,0.9372109863050809,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05867280944418506,Cascade(1.707 -> 3.083(0%) -> 4.784(100%))
15,23.947307334774173,0.2751843411523117,0.18579081296889002,0.1097402763764843,0.02105165535204693,0.18341955085735784,12.032855609430015,-0.04392464204975009,0.7987013223671615,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06163385440476955,Cascade(1.504 -> 4.299(0%) -> 4.194(100%))
16,20.20810103266628,0.2258918626822367,0.29126842785035917,0.11145305753070636,0.03574227483953215,0.1620807502480692,10.54728359361481,0.044700945347754824,0.9465402890232739,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06271647124291238,Cascade(1.415 -> 3.462(0%) -> 5.148(100%))
17,19.655503353820684,0.4376939409689371,0.24586246514293736,0.1085912261616285,0.032188602604474564,0.18082980426530043,12.275915088539143,-0.08836408595453532,0.37436526829334893,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.060909893052790424,Cascade(1.697 -> 3.082(0%) -> 6.289(100%))
18,27.548779131780474,0.22551123750038468,0.22632261485016952,0.10787664434208301,0.02462758951543347,0.16622729601656566,11.951783409527605,0.07366218296759244,0.9139071567280834,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06046060987974409,Cascade(1.468 -> 3.401(0%) -> 4.897(100%))
19,15.765230343767275,0.3892735273419092,0.2362349299348019,0.1300937015905193,0.026237036786990804,0.2145933942488496,6.389895177807881,-0.013425420704491264,0.6364673570006916,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07477454860849957,Cascade(1.477 -> 3.637(0%) -> 5.058(100%))
20,13.196844354421858,0.7108919100147875,0.27646786856303535,0.12518912714406183,0.03094300789214231,0.20125322699284726,26.558408322535275,0.05762084796381538,0.49664194840327025,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07155210973508196,Cascade(1.698 -> 2.802(0%) -> 6.012(100%))
21,19.388309062605366,0.30913283065242586,0.190658690804273,0.1220047579983573,0.03334006808949533,0.17602852752020032,25.09036658799473,-0.0006881914410631837,0.6493939449307773,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06947916808763813,Cascade(1.707 -> 3.192(0%) -> 5.703(100%))
22,15.963808040032587,0.4661856856216189,0.24314086534121368,0.13116737948176563,0.032556675605698956,0.21896801172479013,9.522503247956553,-0.044753129185156885,0.4017447892250017,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07548483815186863,Cascade(1.619 -> 3.209(0%) -> 6.730(100%))
23,21.977753009912433,0.3373460299251008,0.2717067608886983,0.10569989424998863,0.03135473208089029,0.2204785840518944,9.386132643160867,-0.07449033275412263,0.5857916375405369,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05909643394335878,Cascade(1.163 -> 3.911(0%) -> 5.808(100%))
24,17.80003714209814,0.31619968140152555,0.1804646981756706,0.1251576846730469,0.03777965543647108,0.18976748620546052,11.329862257909024,0.01619827954181023,0.32051488278679163,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07153156773530779,Cascade(1.823 -> 2.777(0%) -> 4.524(100%))
25,20.3009816406301,0.3839446476665736,0.2052426493810654,0.10435748937111443,0.022635141779795934,0.2079464266836789,21.88914517844399,-0.009695576164046427,0.5962385013746271,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05825845029276169,Cascade(1.291 -> 3.275(0%) -> 4.320(100%))
26,13.729802180140261,0.5450173847873327,0.2285029975132079,0.11808650175266204,0.0390942095206443,0.17439179144546962,15.376228222125842,-0.04835102012904241,0.4567217239409979,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.0669490273067257,Cascade(1.421 -> 3.210(0%) -> 4.864(100%))
27,16.789142955007833,0.3335996566399895,0.23417730600080802,0.12887294724773726,0.02878739052413087,0.22328683807696878,6.313841553421355,0.03922214670747181,0.41943119957573693,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07396908799960496,Cascade(1.598 -> 3.178(0%) -> 5.041(100%))
28,13.050876465564365,0.7027307883649718,0.20605713003568643,0.11675850658333597,0.021575762303560748,0.20339468390032028,22.616946212911053,-0.0875403754688503,0.33196113198773747,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06609659275159066,Cascade(1.312 -> 3.105(0%) -> 4.522(100%))
29,20.41244509530462,0.31165094405399707,0.1785894588188805,0.11719284366559016,0.03662009614643789,0.1833354317582996,19.727646860220002,0.04422696553317469,0.9018190126816874,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06637510968544821,Cascade(1.393 -> 3.244(0%) -> 6.662(100%))
30,23.72001885772342,0.24855457866094643,0.23976342108236803,0.11427953744503987,0.034469816693482626,0.18545092842261018,14.321108064189378,-2.0312893771981533e-05,0.6221055489217795,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06451219220756609,Cascade(1.413 -> 3.824(0%) -> 4.303(100%))
31,13.196844354421858,0.7108919100147875,0.27646786856303535,0.12518912714406183,0.03094300789214231,0.20125322699284726,26.558408322535275,0.05762084796381538,0.49664194840327025,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07155210973508196,Cascade(1.698 -> 2.802(0%) -> 6.012(100%))
