Time,N,N_NonHIV,N_HIV,N_ART,PrHIV,PrART,IncR_apx,MorR_apx,CNR_apx,CumInc,CumMor,CumACF,IncR,IncR_NonHIV,IncR_PLHIV,MorR,DetR,CNR,PrLat,PrRecent,Prev,PrevA,PrevS,PrevC,Key
2014.0,,,,,,,0.009909356592121131,0.0011217638775139235,0.004365418309940417,152569666.95976478,17374823.57038381,0.0,0.009909720357501227,0.008983658851728889,0.017188902540572763,0.0011217105121611869,0.006116385384648048,0.004365457691958744,0.606732392543325,0.9097542842882982,0.009819484320805942,0.004408614964540536,0.0020410169815081427,0.0010057112982527175,0
2015.0,54170501.864086084,48056702.14929843,3110752.199464595,3003047.515323058,0.11286215752859721,0.49119167382266155,0.009897903947637635,0.001118337043818762,0.004351517375232986,153110230.7484256,17435952.924012884,0.0,0.009898383927711155,0.008962774985640534,0.017045463249383944,0.0011182939066121103,0.006097050809039255,0.004351657993852251,0.6055151428960045,0.9093946575501238,0.00978307668175644,0.004387296386410664,0.0020359953665041335,0.0010025087810827814,0
2016.0,54990092.94833242,48624732.68589309,2881346.702401893,3484013.5600374434,0.11575467363585111,0.5473395717436264,0.009884161499081667,0.0011151207217079163,0.004337562720080986,153658121.63726202,17497808.571567643,0.0,0.009884671981305822,0.008940568140328821,0.016910322630997416,0.0011151798676701638,0.006077497684991827,0.004337702310813234,0.6045722724810032,0.9090295782550811,0.009746693630046398,0.004366350837774097,0.002030691784359432,0.0009992938877201843,0
2017.0,55790290.916343495,49181325.98460379,2632665.7621846013,3976299.1695551043,0.11846084369141803,0.6016523329483617,0.00986754312447353,0.0011116817830390032,0.00432314281983044,154212980.53210875,17560363.400004838,0.0,0.009868019792273672,0.008916627514969548,0.016781814685160493,0.0011117506965957712,0.0060572977064026175,0.004323284947229277,0.6038418208366672,0.9086621319291771,0.009709700641290939,0.004345437792788285,0.002025093920307494,0.0009959718105280334,0
2018.0,56571538.76818161,49728507.07234508,2391530.8614076916,4451500.834428843,0.12096244586660183,0.6505158871523631,0.009848110666503965,0.0011078031066826944,0.004308179185178706,154774437.69598812,17623569.427656695,0.0,0.009848530593270819,0.008891077467720596,0.016659237963875025,0.0011078509540196914,0.006036410488546867,0.0043083770792454795,0.6032877823411684,0.9082971754176844,0.009672061836083701,0.004324525011643024,0.0020192586507361337,0.0009925244670288078,0
2019.0,57334975.828856476,50268238.23533519,2176370.124290089,4890367.469231193,0.12325352006104134,0.6920261866967631,0.00982611528934613,0.001103633253880831,0.004292901506958579,155342142.77926537,17687378.19189529,0.0,0.009826500621789013,0.008864187023039346,0.01654213497368036,0.0011035895052353012,0.006014965685301834,0.004293071244934482,0.6028811836140298,0.9079391349520233,0.009633933442942194,0.004303900681129435,0.002012987661115148,0.000989004773724259,0
2014.0,,,,,,,0.01167736546633219,0.0013864370273451374,0.004697538810730522,178366052.8326437,21553527.701981947,0.0,0.011678198596618032,0.009549228697270453,0.028427951179781235,0.001386384049774085,0.006058275428174003,0.0046976340720338095,0.7595129275886979,0.8749301050153228,0.011248300719384553,0.005523527756338128,0.0023273245676470613,0.0010565663845232946,1
2015.0,54139636.95015204,48034263.16041293,3116277.2296036333,2989096.560135473,0.11277086684863631,0.4895845304605343,0.011699108208447329,0.0013834589209968126,0.004687363884090398,179003694.23462415,21629072.861918457,0.0,0.011700215797134577,0.009529390480869924,0.028297293066051495,0.0013834371155337054,0.006045410584264294,0.004687658571613038,0.7584375464625607,0.8741397036471387,0.011216251581073238,0.005500035882670068,0.0023253759855713205,0.0010542778487844546,1
2016.0,54958761.6893172,48601851.497342266,2885858.550592592,3471051.641382332,0.11566691090877637,0.5460281074545066,0.011712403911749943,0.0013803956405576943,0.004675826013364927,179651774.56639928,21705575.492946014,0.0,0.011713572746380624,0.009504380975748631,0.028166772545040145,0.0013804759078038284,0.006030728944606212,0.004676274313583162,0.7576334424181841,0.873329871198069,0.011181117722727122,0.00547512954644098,0.0023225527342307624,0.0010516827608354924,1
2017.0,55758503.91536051,49157997.8904387,2636269.576421333,3964236.448500481,0.11837667012983624,0.6005958381876394,0.01171598192484224,0.0013765204133855072,0.004662255537883736,180309578.34636164,21782979.19521611,0.0,0.0117170921650164,0.009473668578532586,0.0280324900196898,0.0013766375590744504,0.0060131168454861635,0.004662617754404183,0.7570034487243962,0.8725094422289705,0.011141080600112416,0.005448448790224998,0.0023180759286657105,0.0010486305011750355,1
2018.0,56539306.745471865,49704734.04814917,2394361.0856772196,4440211.611645477,0.12088179163728542,0.6496692343889822,0.011710035149478985,0.0013715895034304216,0.004646201905378221,180976350.9479887,21861197.015886616,0.0,0.011711027905691142,0.009437689242112433,0.027893675367175526,0.0013716988027234374,0.005992375894736172,0.004646535059240728,0.7564937557013717,0.8716919172074962,0.011095847576982312,0.005419616143114337,0.0023123159432606316,0.001045019731974774,1
2019.0,57302308.608205184,50244026.66170427,2178568.533519172,4879713.412981738,0.12317622305168743,0.6913457764889682,0.011695339926574623,0.0013658281173526284,0.004627887541836547,181651363.27704346,21940140.123740233,0.0,0.011696227682658303,0.009397254818294589,0.027750778410621006,0.0013658210108066636,0.005968716385146144,0.004628189290763683,0.7560669506083635,0.8708898658525689,0.01104586680941472,0.005389038899823603,0.002305248231760034,0.0010409004810964483,1
2014.0,,,,,,,0.009597020856303911,0.0012165469219930802,0.0044732397386232714,147277722.76840365,18762788.778818224,0.0,0.009597277729629414,0.00872210592419526,0.01648018129611217,0.0012164768551570536,0.006268476013904728,0.004473297483393112,0.6544607366135653,0.8968915488658885,0.009921684972843983,0.004446977131413671,0.002031093492975018,0.001021520344125697,2
2015.0,54168469.72591965,48057841.10026239,3109835.073606188,3000793.552051078,0.11280785033388761,0.4910777165300746,0.009589891521809661,0.0012136266016367608,0.004463110822062531,147801332.22366193,18829102.65322745,0.0,0.009590251717973156,0.008706740720539535,0.016343589141530147,0.001213592439084751,0.0062542313936933165,0.004463132265626664,0.6534168082397706,0.8963355602389731,0.009891968913940754,0.004428070457975738,0.002027525636791307,0.0010192072791134622,2
2016.0,54988031.37560488,48626437.19835037,2880280.246627021,3481313.930627509,0.11569052424882433,0.5472392349506863,0.009581847562095212,0.0012110717196320477,0.004453165014153451,148332294.6863376,18896252.65337893,0.0,0.009582239014667286,0.008691303317566082,0.0162169215757371,0.0012111332081379748,0.006240340091659817,0.004453219182081428,0.6526689197932158,0.895801852120173,0.009863338211763321,0.004409928010581904,0.0020240847802127527,0.0010169360292561903,2
