iso,Country,Time,Year,q,QCNR
ZAF,South Africa,2020.125,2020,1,0.0010614583340040995
ZAF,South Africa,2020.375,2020,2,6.467207154992806e-4
ZAF,South Africa,2020.625,2020,3,6.887579382479108e-4
ZAF,South Africa,2020.875,2020,4,8.088362111718221e-4
ZAF,South Africa,2021.125,2021,1,9.181081024436984e-4
ZAF,South Africa,2021.375,2021,2,5.56111962753183e-4
ZAF,South Africa,2021.625,2021,3,5.984459920367535e-4
ZAF,South Africa,2021.875,2021,4,7.196349892258116e-4
