Year,Tag,N,Index,m,eps,error
2015,NonHIV,48886369,IncR,0.004852422680849954,0.0013105309954580095,0.2700776666942081
2015,NonHIV,48886369,MorR,0.001314235198772893,8.000000000000001e-4,0.6087190487265625
2015,NonHIV,48886369,CNR,0.002653439039418125,1.4420814323350005e-5,0.005434763757192763
2016,NonHIV,49407649,IncR,0.0036931847222684087,0.00081456983353365845,0.2205602737989606
2016,NonHIV,49407649,MorR,0.0012741461501234355,6.850000000000003e-4,0.5376149352518466
2016,NonHIV,49407649,CNR,0.0020616443417495944,1.2647879158250541e-5,0.006134850178628309
2017,NonHIV,50109751,IncR,0.00340716046224217,6.901568050971708e-4,0.20256069907637847
2017,NonHIV,50109751,MorR,0.0012059595945707255,5.75e-4,0.47679872741066215
2017,NonHIV,50109751,CNR,0.0016452686025121138,1.1221626103018589e-5,0.0068205435184775344
2018,NonHIV,50692520,IncR,0.003181048415032436,5.909387410736861e-4,0.18576854670967355
2018,NonHIV,50692520,MorR,0.0011742618944570128,5.1e-4,0.43431537922451935
2018,NonHIV,50692520,CNR,0.0021127180104678167,1.2639958319869496e-5,0.005982794796675513
2019,NonHIV,51258267,IncR,0.002928958601936347,4.956923467687199e-4,0.1692384270781484
2019,NonHIV,51258267,MorR,0.0011309918718086975,4.55e-4,0.40230174180859307
2019,NonHIV,51258267,CNR,0.0020588678895445294,1.2409115124005693e-5,0.006027154625618493
2015,PLHIV,6500000,IncR,0.047692307692307694,0.01288062718080069,0.270077666694208
2015,PLHIV,6500000,MorR,0.00116,8.000000000000001e-4,0.6896551724137933
2015,PLHIV,6500000,CNR,0.02423153846153846,1.1821246560198829e-4,0.004878454819929043
2016,PLHIV,6800000,IncR,0.039705882352941174,0.008757540283194021,0.22056027379896057
2016,PLHIV,6800000,MorR,0.0011200000000000001,6.850000000000003e-4,0.611607142857143
2016,PLHIV,6800000,CNR,0.01987779411764706,1.0491215874380315e-4,0.005277857196974612
2017,PLHIV,6900000,IncR,0.036231884057971016,0.007339155763636903,0.2025606990763785
2017,PLHIV,6900000,MorR,0.0010600000000000002,5.75e-4,0.5424528301886792
2017,PLHIV,6900000,CNR,0.01995927536231884,1.0435805405008418e-4,0.00522854924117646
2018,PLHIV,7100000,IncR,0.0323943661971831,0.006017854330031677,0.18576854670967352
2018,PLHIV,7100000,MorR,0.00103,5.1e-4,0.49514563106796117
2018,PLHIV,7100000,CNR,0.01702281690140845,9.51512130824836e-5,0.005589627946630318
2019,PLHIV,7300000,IncR,0.028767123287671233,0.004868502696768651,0.16923842707814835
2019,PLHIV,7300000,MorR,9.9e-4,4.55e-4,0.4595959595959596
2019,PLHIV,7300000,CNR,0.014247945205479453,8.59715199382202e-5,0.006033959191895082
