Year,Tag,Index,N,m,eps,error
2018,All,PrevA,35191,0.003966888758388906,0.001307152396919667,0.3295157682845001
2018,All,PrevS,35191,0.0016625930825600562,8.52490693643261e-4,0.5127476485891534
2018,All,PrevC,35191,9.625538899031904e-4,6.535761984598335e-4,0.6790021891923033
