Year,N,IncR_apx,MorR_apx,CNR_apx,CumInc,CumMor,CumACF,IncR,MorR,DetR,CNR,PrLat,PrRecent,Prev,PrevUt,PrevA,PrevS,PrevC,PrA,PrS,PrC,N_NonHIV,N_HIV,N_ART,PrHIV,PrART,IncR_NonHIV,IncR_PLHIV,Key
2014.0,,0.005002972083553056,0.0007480002244491529,0.005163182828633403,78725690.95197931,11526947.945730062,0.0,0.005002789485428948,0.0007478976711928274,0.003445674570302145,0.005162580853109549,0.18617965409993403,0.48970864848647244,0.005479788259278981,0.0041621381755870815,0.002538225892493585,0.0007848711028276304,0.000839041180265866,0.6098370081467949,0.1885740140563503,0.20158897779685483,,,,,,0.0015851065564971873,0.03238172286366367,0
2015.0,53290468.859804906,0.005131869427248251,0.0007687473496213424,0.005299523053556047,78997247.8326815,11567585.144201096,0.0,0.005131830553132042,0.0007686919330206099,0.003536929108617791,0.005299305585133959,0.18749243094998824,0.4916484280737961,0.00562407120237357,0.004271461903063594,0.0026046653442668584,0.0008055195410620209,0.0008612770177347147,0.6097831148625557,0.18858169857122759,0.20163518656621665,47376509.87546837,3020911.4332308453,2893047.5511056893,0.1109759232911764,0.4891896543023201,0.001616549233594118,0.032572691181751545,0
2016.0,53881896.77272644,0.005265655917785594,0.0007903196123151884,0.005441937131074499,79278901.74332702,11609816.599268787,0.0,0.005265648899080305,0.0007903076679986194,0.003632065066366283,0.005441845765262276,0.18906940677353173,0.49371646779932576,0.005774711414418645,0.004385363949252437,0.0026737703174756124,0.0008270250242689589,0.0008845686075078657,0.6097031736513919,0.18858754571782804,0.20170928063078006,47763239.431523375,2783863.1322733676,3334794.2089296924,0.11355682905914624,0.545020585884615,0.0016514822865274258,0.0328232424140498,0
2017.0,54465282.943976104,0.00540405876128929,0.0008123871109022862,0.005588737430286144,79571024.54108813,11653695.705729488,0.0,0.005404206471407686,0.000812380615381925,0.0037300584208070403,0.005588667122022888,0.1908983425410535,0.4957046406309976,0.00593014000016985,0.004502882208897035,0.002745111294677512,0.0008491793771124938,0.0009085915371070288,0.609634266970958,0.18858574080277737,0.20177999222626458,48150381.04706475,2529815.9084582366,3785085.98845312,0.11594361684317274,0.5993895155052876,0.0016889651881634876,0.03314260221335055,0
2018.0,55040557.74403633,0.005546965356075469,0.0008348292735124738,0.005739785646562181,79873981.01354526,11699264.222047033,0.0,0.005547091728417313,0.0008348293615890285,0.0038308708749069742,0.005739712275786783,0.19296962978551,0.49749272667033384,0.006090037175709762,0.004623842898210755,0.0028185602849782844,0.000872023272893277,0.0009332593403391941,0.6095709449966296,0.18859275543957507,0.20183629956379542,48539276.120557606,2287801.8023395063,4213479.821139222,0.11811801860207612,0.6480998770954116,0.0017284483438859597,0.03353115415382687,0
2019.0,55607951.277206846,0.005693533751637415,0.0008576540456304515,0.005894804510999477,80188108.36774217,11746561.559680441,0.0,0.005693536577485384,0.000857638964067147,0.003934338239252736,0.0058947352250511495,0.19527598945324653,0.499035288679952,0.006254037301773308,0.00474790933218045,0.002893867005384558,0.0008954929373489308,0.0009585493894469607,0.6095034262281429,0.18860784288348675,0.2018887308883703,48930942.832042545,2074863.4990160172,4602144.946148291,0.12007290849251533,0.6892525273771826,0.0017695943805230913,0.03398338847478777,0
2014.0,,0.0030828143234661173,0.0004953990320238722,0.0028976476569722714,60447354.00393699,9488138.468596002,0.0,0.003082724959516354,0.0004953946231202555,0.0021525023936302626,0.002897578171216995,0.12848278069845753,0.45133004549811684,0.0035354890120468086,0.002709659014023797,0.0015174099179281267,0.0005518649437708833,0.0006403841523247877,0.5600003211012146,0.203665826923135,0.2363338519756507,,,,,,0.001051882937754235,0.019242347423468916,1
2015.0,53302953.05013024,0.003127839889397162,0.0005040537744232171,0.002944875995074479,60613804.0505021,9514925.045557883,0.0,0.0031279941602048145,0.0005040801309075613,0.00218778078925081,0.002945067971631677,0.12905630682355612,0.4538431482692801,0.003592468475688731,0.0027527423957924794,0.0015410310367130688,0.0005606556504191677,0.0006510557086602431,0.5598166537735274,0.20367167348318552,0.23651167274328716,47352039.7557923,3032952.511694363,2917960.7826435706,0.11164321963065034,0.49033831251077015,0.0010648205447393198,0.019104029221564865,1
2016.0,53894521.76458674,0.0031715537180288965,0.000512515247908346,0.0029911856113385904,60784490.47801326,9542470.206845634,0.0,0.003171756712637611,0.0005125581299239429,0.0022222062972934668,0.0029914096625549363,0.1297329909743266,0.4565146747633205,0.003648347597046664,0.002794846797904383,0.0015640429503753555,0.0005692152940488994,0.0006615885534801283,0.5596167029792466,0.20366600934108636,0.23671728767966713,47730517.71569088,2797409.9204838835,3366594.128411973,0.11437162529840145,0.5461700060068947,0.0010786505050640195,0.018982072275731277,1
2017.0,54478045.23820984,0.0032155989915439677,0.000520645700279099,0.003036176539176562,60959397.17802636,9570764.481463155,0.0,0.0032154619676233167,0.0005206827375498286,0.0022555373599465914,0.0030362780723895825,0.13050172774153768,0.4589986649442713,0.0037026826152636643,0.00283585333518815,0.0015865072051609325,0.0005775757179285841,0.0006717704120986335,0.5594461411226941,0.20366910755286424,0.23688475132444167,48108964.72805893,2544066.593234226,3825013.9169166805,0.11691095894321402,0.6005598313320822,0.0010928068552430413,0.018893820887094705,1
2018.0,55053456.123253964,0.0032599664487025304,0.0005285400899025657,0.003080534272779354,61138567.58232361,9599796.864497801,0.0,0.003259894134748159,0.0005285663892137027,0.0022884506171174457,0.0030805840558830342,0.1313546995004506,0.4611409941693525,0.0037564641441098605,0.002876611418977332,0.0016089911719992622,0.0005858675376713305,0.0006817527093067389,0.5593355993042942,0.2036658597008605,0.23699854099484516,48488689.650673196,2302175.5674078576,4262590.905172898,0.1192434941392875,0.649313410153519,0.0011070846130305306,0.018845753747619466,1
2019.0,55620982.38443123,0.0033049030185118558,0.0005363472116903234,0.003124959266293359,61322061.906928875,9629562.880200293,0.0,0.0033048702289008355,0.0005363517214968392,0.002321440311515129,0.0031249929348904425,0.1322879085789772,0.46297550999755355,0.0038104277244819535,0.002917627370235195,0.0016317105598860372,0.000594207765448758,0.0006917090449003996,0.5592594093859568,0.20366129393722335,0.2370792966768199,48870680.0040237,2089004.8594374564,4661297.520970065,0.12136251628480742,0.6905316618851464,0.0011214720955606283,0.0188338783370675,1
2014.0,,0.005541653914466003,0.0007921513882771984,0.006396984401534493,105796513.59433477,14345057.09046632,0.0,0.00554372964894669,0.000792386736272933,0.004206603750989443,0.006397525756026611,0.39373738876030406,0.5716026066437536,0.006392768890759602,0.004736275377970438,0.0031611688891645014,0.0011335513576496018,0.0004415551311563342,0.6674377304723164,0.23933392110645071,0.09322834842123283,,,,,,0.002611722863420234,0.02902160381403334,2
2015.0,53343203.554000564,0.005186962770257495,0.0007474988598220606,0.006040913188125557,106084280.4429123,14386358.185478963,0.0,0.005187953672729264,0.0007478183385794819,0.003972609205898494,0.006041660022621534,0.3917852618148201,0.5740734219919655,0.0060305339604384035,0.004461746718698609,0.002975186385078251,0.0010691375494733936,0.0004174227841469649,0.6668209947036271,0.23962309312466684,0.09355591217170608,47421077.851331495,2990674.32751057,2931451.375158496,0.1110193109544679,0.49499985686513015,0.002514019165736459,0.026034326494595535,2
