,Unnamed: 0,rr_die_a,beta,rr_sus_slat,rr_sus_rec,r_onset,p_primary,r_clear,r_sc,r_react,r_relapse,r_relapse_td,r_relapse_tc,r_csi,r_recsi,rt_cs,ppv,r_die_ut,rr_inf_asym,rr_inf_cs,r_lat,r_stab,p_cs_pub,p_dx_pub,p_dx_pri,dur_succ,r_act,k_covid
0,0.0,0.6886522501309549,6.710616466898095,0.2750555998655281,0.2867358817960671,1.1568127904310013,0.1378936405998632,0.0341609160518517,0.2389206726501019,0.0009461795212816,0.001422372395464,0.1367046028058469,0.0301951742292132,3.5006334048674907,8.737293781270623,0.0514656428340465,0.7414279532203316,0.127,1.0,1.0,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0.079974842486843,<scipy.interpolate._interpolate.interp1d object at 0x7fd2826c71a0>
1,1.0,0.792179301595618,9.0178060448995,0.2901420538170725,0.2697580380483719,0.9228792146734828,0.1018279613468995,0.0268697719669049,0.1671778055847507,0.000621456422967,0.0017414160668024,0.1556177475943025,0.0291628303569566,2.8101698877555337,4.9090884985615615,0.0184541263015499,0.7076522878690626,0.127,1.0,1.0,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0.0566862232204427,<scipy.interpolate._interpolate.interp1d object at 0x7fd2826c71a0>
2,2.0,0.5521519329417037,8.115676848680057,0.5742718438380632,0.2474532815704394,1.160595754074106,0.0949677997295272,0.0287419485727283,0.1605985678364754,0.0009702502241996,0.0015755122762871,0.1340414406588274,0.0329091968123351,3.566784022674538,7.16939404448528,0.0799585766391861,0.8863259641694667,0.127,1.0,1.0,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0.0524665308599769,<scipy.interpolate._interpolate.interp1d object at 0x7fd2826c71a0>
3,3.0,0.6512841067504513,7.254849273346474,0.3201764000050585,0.2490107713091524,1.186656269224643,0.0982421826409452,0.0348967456316997,0.2023376681207846,0.001241775716413,0.0015066413640353,0.1369203930340022,0.0296964127741251,2.700942276477931,9.98461304424692,0.0989837704204087,0.8035450274440099,0.127,1.0,1.0,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0.0544725982684927,<scipy.interpolate._interpolate.interp1d object at 0x7fd2826c71a0>
4,4.0,0.710827966309344,6.109428727436454,0.2693055099886108,0.2193669479244291,0.9721457689227284,0.0993106647914223,0.0323098186483763,0.1871169465621081,0.0005203949442029,0.001581875223577,0.1562666339086065,0.0383548339794246,3.044008354291284,3.8289721481763856,0.1424974326134867,0.5168988218771849,0.127,1.0,1.0,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0.0551303656595558,<scipy.interpolate._interpolate.interp1d object at 0x7fd2826c71a0>
5,5.0,0.1496181230682806,8.309674421359864,0.2670023707843525,0.221661175233946,0.9925030211104288,0.1097707659591025,0.0258522576436693,0.2274884737833725,0.0005631203614671,0.0013367457011006,0.1588720087348867,0.0343784171995026,3.6647442011469775,5.443872320617093,0.0341054648887047,0.7215463256974418,0.127,1.0,1.0,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0.0616530898793532,<scipy.interpolate._interpolate.interp1d object at 0x7fd2826c71a0>
6,6.0,0.3293367039351784,8.265427599351812,0.5050909895971292,0.1532586921597441,1.036132648067634,0.1117048070469926,0.0257150551420464,0.2026210749840895,0.0009712878955802,0.0011415189706774,0.132296500480649,0.0397829827972435,3.761378541580034,14.46731616050273,0.0283240407275965,0.7524478439560489,0.127,1.0,1.0,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0.0628759493089489,<scipy.interpolate._interpolate.interp1d object at 0x7fd2826c71a0>
7,7.0,0.4242657614749787,6.7586144254548906,0.4597727590930108,0.2851595329619706,1.1608097863958993,0.1070330510672257,0.0232818199129255,0.2160929650615861,0.0006500877202968,0.0013665780273406,0.1314949674981825,0.0383036340266708,2.545001078024161,13.702293347801172,0.0926572102107569,0.6073047991504976,0.127,1.0,1.0,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0.0599311380981937,<scipy.interpolate._interpolate.interp1d object at 0x7fd2826c71a0>
8,8.0,0.0508626300339239,6.880578458541918,0.5379442594099173,0.228486172645291,1.246378285265637,0.1034212441814408,0.0200973111775669,0.1855075674550703,0.0011862199928348,0.0013854342705357,0.1198717751687808,0.0281272834059275,2.3708797566095003,9.579437814773875,0.0558747307728762,0.8696549335047581,0.127,1.0,1.0,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0.0576754933742654,<scipy.interpolate._interpolate.interp1d object at 0x7fd2826c71a0>
9,9.0,0.959193291811942,9.363705919527032,0.5030575306689199,0.21764925024831,1.038656088420299,0.0959684004949428,0.033931271932818,0.2213273426760623,0.000910253736381,0.0018750292360943,0.1143967257643822,0.033329146011134,3.268382228561581,11.378799556159484,0.0481862889363831,0.7443451145528739,0.127,1.0,1.0,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0.0530780121776074,<scipy.interpolate._interpolate.interp1d object at 0x7fd2826c71a0>
