,Unnamed: 0,beta,rr_sus_slat,rr_sus_rec,p_primary,r_clear,r_sc,r_react,r_relapse,r_relapse_td,r_relapse_tc,irr_hiv,rr_inf_asym,rr_inf_cs,r_lat,r_stab,irr_art,dur_succ,adr,r_act,cas,k_covid
10,10,7.775936824244781,0.3588267914401439,0.2342206166721443,0.1221495882172092,0.0261541246637234,0.179130237224687,0.000849860161254,0.0016874644592952,0.1640592563315284,0.0360615512481311,23.51420823808045,1,1,0.5,0.6666666666666666,1,0.5,0,0.0695731223552886,Cascade(1.367 -> 3.377(40%) -> 3.677(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
11,11,6.709346602413248,0.2380358030268529,0.2562044370871193,0.1336268418657061,0.0231800986540305,0.1851209553574735,0.0010862484149325,0.0012867210489978,0.1645513078865563,0.0305663141308708,29.992166926790684,1,1,0.5,0.6666666666666666,1,0.5,0,0.0771185260133561,Cascade(1.325 -> 3.064(40%) -> 3.548(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
12,12,10.699523319269154,0.2950869562277644,0.2599916232930641,0.103638793339949,0.0315139114020707,0.1637239950936338,0.0010656271288512,0.001794811500621,0.1059915804864853,0.0244506388194678,19.84621852422979,1,1,0.5,0.6666666666666666,1,0.5,0,0.0578108426435139,Cascade(1.559 -> 3.950(40%) -> 3.611(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
13,13,7.288216864618895,0.2956076728779648,0.1760366238161501,0.1056318494024665,0.0357013481217207,0.2046037394144659,0.0013814719949002,0.001986384529653,0.1325266720112324,0.031488866218138,21.191475770341164,1,1,0.5,0.6666666666666666,1,0.5,0,0.0590538970623524,Cascade(1.527 -> 3.337(40%) -> 3.880(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
14,14,12.22738990257395,0.2289186364739816,0.2889958967574818,0.1026978178096036,0.0367621853789455,0.1894549855444014,0.00105970104207,0.0018892764685113,0.1149584251235549,0.038585820106357,11.133287968506115,1,1,0.5,0.6666666666666666,1,0.5,0,0.0572258821208419,Cascade(1.503 -> 3.497(40%) -> 3.844(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
15,15,9.563657490950984,0.3749340991147964,0.2012991937014877,0.1141618661255905,0.0293360470148004,0.175552002573828,0.0006134421148653,0.0011982221728198,0.131291815896557,0.0287975320960994,17.464504081383375,1,1,0.5,0.6666666666666666,1,0.5,0,0.0644372045862816,Cascade(1.438 -> 3.218(40%) -> 7.157(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
16,16,9.563657490950984,0.3749340991147964,0.2012991937014877,0.1141618661255905,0.0293360470148004,0.175552002573828,0.0006134421148653,0.0011982221728198,0.131291815896557,0.0287975320960994,17.464504081383375,1,1,0.5,0.6666666666666666,1,0.5,0,0.0644372045862816,Cascade(1.667 -> 3.359(40%) -> 3.657(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
17,17,10.773374014521034,0.2197712024895957,0.2327679988094331,0.1092765757559697,0.0278849472200143,0.1922164113265534,0.0014842683782285,0.0015050931376978,0.1355692783826972,0.0296106494959355,15.73444738141093,1,1,0.5,0.6666666666666666,1,0.5,0,0.0613414741218433,Cascade(1.466 -> 3.170(40%) -> 4.802(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
18,18,6.445312896802895,0.5987768478133062,0.1445151465781135,0.1065188212534825,0.0314013572304497,0.182207054045605,0.0014578311358561,0.0014160545872756,0.1485464486626315,0.0391658651530957,19.645387318343506,1,1,0.5,0.6666666666666666,1,0.5,0,0.059608878053212,Cascade(1.584 -> 3.413(40%) -> 3.306(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
19,19,10.787987481513095,0.2420324489151307,0.2827854910186635,0.1066847830966303,0.0225974851825288,0.1676392717588994,0.001087097660103,0.0017791860499427,0.1178799801865611,0.0331832609419695,23.092242173720788,1,1,0.5,0.6666666666666666,1,0.5,0,0.059712843281931,Cascade(1.275 -> 3.646(40%) -> 4.817(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
20,20,7.211769157421083,0.5881566872661144,0.2544020169244838,0.111299379043689,0.0360463809995296,0.1927136084613917,0.0011884042823678,0.0011757421257066,0.1357869232802664,0.0343615646929945,16.29342931822006,1,1,0.5,0.6666666666666666,1,0.5,0,0.0626191635400919,Cascade(1.205 -> 3.603(40%) -> 6.025(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
21,21,8.783771400534103,0.2400839407859205,0.1937341941029415,0.1264967980140657,0.0266454815649817,0.1723137305571747,0.0007735223317204,0.0019612531467464,0.1272504568747884,0.0371349991776068,22.944303434343546,1,1,0.5,0.6666666666666666,1,0.5,0,0.0724077471762391,Cascade(1.854 -> 3.457(40%) -> 3.837(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
22,22,9.88961329816392,0.5768371232645412,0.1917605073992145,0.0967580936416996,0.0339075386283898,0.2297764477356438,0.0014570959148392,0.0015905789109814,0.1523711507707732,0.024578911394435,14.449950557953995,1,1,0.5,0.6666666666666666,1,0.5,0,0.0535615613937853,Cascade(1.387 -> 3.268(40%) -> 5.820(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
23,23,6.440108461589757,0.5836516674328334,0.172586583536863,0.1211539877947044,0.0339744241609873,0.2031292565929753,0.0007672257802686,0.0015936163725974,0.1271185641962436,0.0288913082232269,22.558880265736843,1,1,0.5,0.6666666666666666,1,0.5,0,0.0689278816266639,Cascade(1.432 -> 2.402(40%) -> 5.724(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
24,24,9.88961329816392,0.5768371232645412,0.1917605073992145,0.0967580936416996,0.0339075386283898,0.2297764477356438,0.0014570959148392,0.0015905789109814,0.1523711507707732,0.024578911394435,14.449950557953995,1,1,0.5,0.6666666666666666,1,0.5,0,0.0535615613937853,Cascade(1.764 -> 2.794(40%) -> 4.133(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
25,25,9.028012131034137,0.4484670372683141,0.2158668991607641,0.1117445487016828,0.0323047820071241,0.2426625791855901,0.0009984418857479,0.0016371226753575,0.1638235644286962,0.0249990687866343,20.638180178431178,1,1,0.5,0.6666666666666666,1,0.5,0,0.0629011330796515,Cascade(1.800 -> 3.832(40%) -> 3.304(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
26,26,6.859548375955184,0.6036267908398222,0.2751838114977138,0.1054823240518657,0.0242087079643853,0.233305151846936,0.0010493365860014,0.0015643292687958,0.13794860089909,0.0251882298882047,28.1800243509539,1,1,0.5,0.6666666666666666,1,0.5,0,0.0589604470029398,Cascade(1.736 -> 3.245(40%) -> 3.045(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
27,27,8.17375655394329,0.3272239657037316,0.1986160327778119,0.1142730523170886,0.0216703996971822,0.2075905182561191,0.0008142630445241,0.0018328884442985,0.1447844767035751,0.0315913308686402,23.335586027289807,1,1,0.5,0.6666666666666666,1,0.5,0,0.0645080589543032,Cascade(1.335 -> 3.224(40%) -> 3.856(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
28,28,8.878376096487118,0.3229420132376958,0.1407267938598076,0.1099534712110475,0.0366798088874028,0.2109491844301805,0.0009389364144895,0.0015539055685087,0.1472554249173107,0.0296658330744546,20.89971308781581,1,1,0.5,0.6666666666666666,1,0.5,0,0.0617683838173361,Cascade(1.515 -> 4.079(40%) -> 5.143(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
29,29,6.675943812074415,0.6931980254203783,0.1542956687437013,0.11243879101018,0.0365725949521075,0.1981620599050631,0.0007158807751893,0.0017879122716146,0.1118034475268918,0.034781762053993,21.7478299437012,1,1,0.5,0.6666666666666666,1,0.5,0,0.0633414292283867,Cascade(1.589 -> 3.426(40%) -> 5.157(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
30,30,9.602981918248965,0.3865210807166063,0.2285041327398587,0.0915717978976418,0.02693928109589,0.2055081898665346,0.0009684662129112,0.001682670704172,0.1572966035877072,0.0382165932873865,25.77791387449597,1,1,0.5,0.6666666666666666,1,0.5,0,0.0504012302159482,Cascade(1.482 -> 3.004(40%) -> 4.788(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
31,31,6.97218487444044,0.3643287593180899,0.2224006044855535,0.1077435994111434,0.0352071896043072,0.2166424817119453,0.0012583263377793,0.0012299700984557,0.1280090248241784,0.0317479118970259,26.796668365215226,1,1,0.5,0.6666666666666666,1,0.5,0,0.0603770392344827,Cascade(1.425 -> 3.354(40%) -> 3.788(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
32,32,9.955383742527149,0.3727685352201491,0.2627658078843449,0.1027313701686202,0.0228310653009816,0.2336241932441414,0.001465280779093,0.0016510287315865,0.1555884905159162,0.0283851318759637,18.84914790347113,1,1,0.5,0.6666666666666666,1,0.5,0,0.0572467189608122,Cascade(1.443 -> 3.141(40%) -> 3.888(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
33,33,8.342569139359934,0.4243872754752331,0.1605685029990891,0.1133445849087029,0.0289388844507963,0.1590904582828224,0.0008373579232627,0.0016981476537965,0.1420165374714861,0.0244404292189824,19.217535250567785,1,1,0.5,0.6666666666666666,1,0.5,0,0.0639169303990728,Cascade(1.436 -> 3.051(40%) -> 4.416(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
34,34,6.235834626909727,0.6292106230427286,0.2326434235232864,0.0927462194256055,0.0283992635938299,0.1834031873162325,0.0013569300435403,0.0012301067622579,0.1294323626241212,0.0373516351077671,24.4924031111584,1,1,0.5,0.6666666666666666,1,0.5,0,0.0511137133905833,Cascade(1.472 -> 3.991(40%) -> 5.657(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
35,35,10.83474955998608,0.2632251811272701,0.2289790628098337,0.1027138061501822,0.0202269279203317,0.1742242831820675,0.0014960214206375,0.0016090958577145,0.1206597957847558,0.0320967477475566,18.940784403740903,1,1,0.5,0.6666666666666666,1,0.5,0,0.0572358110791203,Cascade(1.339 -> 3.488(40%) -> 4.235(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
36,36,8.873977664177243,0.5594376884137016,0.237508415040615,0.1123936888117233,0.0202938054642808,0.1937691957406331,0.0010144192542212,0.001407300225588,0.1396123082960952,0.0285444455866628,13.448773797890244,1,1,0.5,0.6666666666666666,1,0.5,0,0.0633128039959839,Cascade(1.481 -> 3.290(40%) -> 3.854(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
37,37,11.786250893299249,0.2114660133516364,0.1821390391485484,0.0955436275615157,0.0317714013448564,0.2483208979930176,0.0014802622221663,0.0018784622485672,0.1352158409477852,0.0265532924218828,22.694286465218013,1,1,0.5,0.6666666666666666,1,0.5,0,0.0528182621478594,Cascade(1.350 -> 3.253(40%) -> 3.907(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
