Time,N,N_NonHIV,N_HIV,N_ART,PrHIV,PrART,IncR_apx,MorR_apx,CNR_apx,CumInc,CumMor,CumACF,IncR,IncR_NonHIV,IncR_PLHIV,MorR,DetR,CNR,PrLat,PrRecent,Prev,PrevA,PrevS,PrevC,Key
2020.125,,,,,,,0.006902054758531521,0.001121636871023097,0.0036465771993964093,210284360.09823418,30836056.01964222,0.0,0.0017254949703990326,0.001311601427745567,0.004695778888646973,0.0002799359398634949,0.0012556395672190088,0.000947560050902252,0.5765288174125708,0.7322255625166779,0.01016525258204206,0.005062978816545382,0.001936885330515397,0.0010462114578861804,0
2020.375,58516056.678166725,51359393.56566064,1797896.3124054903,5358766.800100597,0.122302552816693,0.7487800830999419,0.006767545120710197,0.0011141490013989266,0.003307934590481389,210384490.86355764,30852418.504773587,0.0,0.0016916114911482993,0.001293591553199671,0.004536908401553603,0.00027845115965920186,0.001092316144272848,0.0008243091156817308,0.5746572826832383,0.7339926708404739,0.010016495744740138,0.004963736486937292,0.0020377329089707797,0.001047664838228961,0
2020.625,58696911.01100725,51493624.38478093,1762230.244430569,5441056.381795747,0.1227200290808405,0.7553574727938082,0.006643332070236031,0.0011131078005516414,0.0037770838201956996,210483017.7815252,30868796.21585495,0.0,0.0016604454591137544,0.0012783388642113507,0.004381715131220436,0.0002787386700316334,0.0012627830316535233,0.0009529508188419789,0.5728050016462403,0.737378973859659,0.009916714596414144,0.004867465620465099,0.0020688018931545125,0.0010744570990092804,0
2020.875,58876650.38163662,51627398.4505186,1727946.9591214592,5521304.971996546,0.12312609301189145,0.7616378937385103,0.0065337303900898334,0.0010958336182902242,0.004346366837940293,210580126.74596965,30885113.685183235,0.0,0.0016333263310971283,0.001263309212967433,0.004258887961276115,0.0002747214673253619,0.0015153186226855495,0.001143525123555432,0.5709593668909276,0.7385518781979719,0.009774780727659462,0.004776123934664828,0.001893065010543887,0.0010725088097319013,0
2021.125,59055229.97973662,51760664.27356672,1694990.7538891658,5599574.952280722,0.12352107863558981,0.767636508852678,0.0064271634714660394,0.0010662813082559898,0.0036825274753234825,210675951.56413192,30901091.715944402,0.0,0.0016071069660228883,0.001245596614679788,0.004163211024704832,0.00026560228326233826,0.001173994176993309,0.000885946900012131,0.5690597354104661,0.7360576213977876,0.009558232744943185,0.004690170688382102,0.0018035956495287306,0.0010207765413579057,0
2021.375,59232631.19515281,51893344.26238024,1663340.9848536556,5675945.94791892,0.12390614404063771,0.7733647696172996,0.006313505524432729,0.0010524536972185924,0.0028839930806484238,210770427.73480088,30916765.337052852,0.0,0.0015782020874294993,0.0012284781865948703,0.004042449090239037,0.00026283829406304333,0.0009674984619822822,0.000730116281629105,0.5671107981204645,0.7361378310250353,0.009384477058381649,0.004607148636784238,0.0019383879354895356,0.0009946950238521786,0
2021.625,59408847.49497753,52025439.98955101,1632917.8377103978,5750489.667716131,0.1242812782397559,0.7788395349287894,0.006203033198088708,0.0010576834387136325,0.0028900377679056586,210863497.696298,30932446.77888171,0.0,0.0015504306409558643,0.0012147729094250648,0.003907673148431175,0.00026429882458254254,0.0009553314089972694,0.000720934495989841,0.5651824385672612,0.7397439361893519,0.00930952892099521,0.0045256520934381095,0.0020878491772648583,0.0010211798603046976,0
2021.875,59583933.279909864,52157067.77975549,1603602.254994499,5823263.245159877,0.1246454386497932,0.7840808810983361,0.0061083497578176185,0.0010533115143136953,0.00342822994959775,210955307.4440474,30948206.4676831,0.0,0.0015268052098726943,0.0012029334599137594,0.003793938723211768,0.00026392163318369067,0.0013864203969634887,0.0010462529345329548,0.5632946146493502,0.7428459689281072,0.009230813623528126,0.004447497103597528,0.002000025988111661,0.001045979199838247,0
2020.125,,,,,,,0.005583465546500068,0.000868330522929581,0.0027856870208844073,191969475.01861417,26902941.614880808,0.0,0.0013958877693290553,0.0009651193994281947,0.004482840749843033,0.0002167810681391977,0.0009868737126519959,0.0007378429581288956,0.5665103317867453,0.6647057509866738,0.007405096711469157,0.0035081349383108804,0.0013781142378673007,0.0008661255356454243,1
2020.375,58588257.82257134,51413736.07866342,1794650.6461363528,5379871.097771566,0.12245664934491206,0.7498578009523437,0.005452529201246791,0.0008580558298780131,0.0025113502419216614,192050415.63108027,26915593.412843704,0.0,0.0013629317195276184,0.0009494049521572929,0.004314836763737711,0.0002144446685021428,0.0008469678873263428,0.0006332414000022651,0.5645166922072415,0.6666285237351126,0.0072673717508280585,0.0034272052865794308,0.0014424499721308376,0.0008616463482023267,1
2020.625,58769336.17715658,51548065.63284513,1759269.395248203,5462001.149063244,0.12287480196378886,0.7563767505381631,0.005328214869156763,0.0008536516765865612,0.002866061863847489,192129713.55476806,26928193.333288416,0.0,0.0013316062695504787,0.0009357845999140856,0.004146494800531909,0.00021369330045056397,0.0009388895365133082,0.0007019672569003439,0.5625373890113929,0.6706351198784097,0.007167560378574923,0.0033480203233845823,0.0014725153292561048,0.0008787862034175019,1
2020.875,58949298.121442616,51681931.04426668,1725261.7727236585,5542105.304452276,0.12328165574090953,0.7626015372001703,0.005221828322251259,0.000838736522356982,0.003299822169268898,192207546.10376647,26940708.315794315,0.0,0.0013050959806170301,0.0009226484078591163,0.004014947333959381,0.00021027050351549975,0.0011412265676700537,0.000853245937945273,0.5605580144628,0.6721766567923215,0.007044882858029544,0.003272697996422079,0.0013489094995192193,0.0008786827676925564,1
2021.125,59128097.99340114,51815287.007201895,1692567.0980983607,5620243.888100883,0.12367742637375845,0.7685476759494293,0.005124423447956923,0.0008153577774466031,0.0028005173259151948,192284134.66968766,26952946.639267523,0.0,0.0012816519428689862,0.0009077311091692174,0.003921686807008158,0.00020307910262088688,0.0008768845733262116,0.0006556088172439983,0.5585265975827001,0.6689777656924165,0.006873074875257513,0.0032030164023211707,0.0012869513990643642,0.00083885936266318,1
2021.375,59305718.087166324,51948063.96962168,1661160.4180821395,5696493.699462496,0.12406314862810541,0.7742268946672781,0.005017529901640384,0.0008033977932758727,0.002199860579786374,192359442.45719218,26964937.695685275,0.0,0.001254263361306118,0.000893510789360333,0.003792546745085231,0.00020070491832530237,0.0007307850319451178,0.0005463764844618991,0.5564596680807067,0.6696043778979949,0.006732566019363433,0.0031365497947468237,0.0013917433276551092,0.0008155343387423839,1
2021.625,59482153.82908114,52080265.64747521,1630962.9486163198,5770925.232989602,0.12443880567732737,0.7796558244868724,0.004908713583044556,0.0008030757671024832,0.0021782229765205017,192433341.9259072,26976899.743456848,0.0,0.001226881835136978,0.0008818006748651116,0.0036467966680311546,0.00020090924372719078,0.0007904723644031589,0.0005910021314714128,0.5544190129537765,0.6741883895579597,0.006658983540649836,0.0030706769266176355,0.0014592800833638,0.0008359791908202458,1
2021.875,59657457.73918912,52211998.58250636,1601862.549292814,5843596.607389937,0.12480349379339731,0.7848537591056362,0.0048182706590068035,0.0007928763127570728,0.0025263965364904564,192505964.22852385,26988831.21757648,0.0,0.0012042441491685364,0.0008709397466953851,0.0035340228623506496,0.0001985104372328373,0.0010450236802565778,0.0007813191836709862,0.5523957266975041,0.676672552083471,0.006566945431527814,0.0030072464717277184,0.0013588898687585485,0.0008453830502811912,1
2020.125,,,,,,,0.008152120088876167,0.001317926205348478,0.00407388806750951,237036092.39559942,35270708.389363855,0.0,0.0020379224913787126,0.0016164296198940002,0.005061043773935498,0.0003289037472133355,0.0013601221191980558,0.0010416186655927558,0.6750427135404249,0.7939758445728062,0.010740305009397853,0.0054410498310648574,0.0020655356003097917,0.0009200219051245079,2
2020.375,58597399.65446108,51427253.69981684,1790811.559744082,5379334.394900167,0.12236286928985558,0.750240570962975,0.008015099418613274,0.0013106822261249552,0.003719527438331296,237154677.58504385,35289973.20857046,0.0,0.0020033415132559565,0.0015972196271823642,0.0049049639417419475,0.00032761523824585616,0.001217045196543828,0.0009320464506069637,0.673250982156187,0.7956097194296821,0.010607240148810142,0.005345634444160401,0.002181091893629884,0.0009283917574878375,2
2020.625,58778505.52068956,51561733.22738945,1755458.0919737727,5461314.201326346,0.12277910486784786,0.7567530163583659,0.007893355629961633,0.001310101203325417,0.004275482848007265,237271718.6465081,35309268.59462948,0.0,0.0019730609300075246,0.0015816418091741176,0.004759157846871283,0.00032792624826743816,0.0013721719645586308,0.0010508467662670082,0.6715084117660493,0.7984139201822493,0.010526177076723292,0.00525464313816678,0.00222308109476136,0.0009600651336592345,2
2020.875,58958494.875905894,51695751.91687184,1721473.7974436118,5541269.161590451,0.12318399535674156,0.762971950521492,0.007783167433774199,0.0012928882749703892,0.004937695420025721,237387421.03152415,35328516.54319358,0.0,0.0019459126996631386,0.0015663645319397375,0.004637693230350392,0.0003240231079028945,0.0016638250488683847,0.0012742026636580704,0.6697811387327965,0.7996806285604406,0.010402794864598263,0.00516966857720106,0.002050892197724908,0.0009589933070093249,2
2021.125,59137322.71769436,51829260.088909835,1688802.074663733,5619260.554120797,0.12357784040497152,0.7689124792100184,0.007669208157113227,0.0012607947753230573,0.004160114719291816,237501829.92681813,35347414.07050258,0.0,0.0019175888018566234,0.0015471957125759634,0.0045351591897749115,0.00031413984275349596,0.0013514475340556235,0.0010349754313764635,0.6679836408168751,0.7978286311842359,0.010194000037373994,0.005089423232139515,0.0019381814653888557,0.0009064631184353727,2
2021.375,59314970.53872928,51962184.82160705,1657420.5297803755,5695365.187341845,0.12396171911307403,0.7745860421417167,0.007550444053450359,0.0012449098236612358,0.003247401856684394,237614837.57789296,35365980.25880479,0.0,0.001887222594520709,0.0015284550528452334,0.004413930579428906,0.00031095537240654475,0.0010559531306067614,0.0008086777468773904,0.6661402966632383,0.7978170793701489,0.01002310335742076,0.005011032277725723,0.0020791802605710785,0.0008821284605423803,2
2021.625,59491434.231484786,52094526.71542513,1627252.830482543,5769654.685577107,0.12433567305299505,0.7800090339172735,0.007442527988314389,0.0012453769711283326,0.0032225955597787953,237726473.77287632,35384536.24472426,0.0,0.0018603121783521677,0.0015143799108722183,0.004288522876834711,0.00031194569532223446,0.0012766809359578927,0.0009777171285800619,0.6643463516533679,0.8006038312404176,0.009950732156739365,0.004934612256864529,0.0021547802403762252,0.0009164946973044081,2
2021.875,59666765.82366734,52226392.40101282,1598185.2211558104,5842188.201498707,0.12469878867983201,0.7852009394730591,0.007346016285448462,0.001231328306867531,0.003741258773524443,237836927.8283764,35403061.95488359,0.0,0.0018366883368722828,0.0015007266648793037,0.004187319060849511,0.00030812693652186015,0.0015106728155835445,0.0011569145006212927,0.6625763994883421,0.801795167227079,0.009847807620301019,0.004862304442524234,0.0020082315007405966,0.0009244076851327692,2
