Year,Inc,Mor,N,MorR,IncR,Key
1700,0,0,1234281163.0000002,0.0014629293339481688,0.0018023377657907813,1
1701,4086944.3850350063,1669391.457679193,1235011891.6583192,0.0012183643803742362,0.004359695262830128,1
1702,9991719.819318118,3046054.2821526225,1236895493.6883764,0.0010413812659264188,0.005016325297872565,1
1703,16267016.829022668,4300833.341815162,1240073118.0009806,9.962742701945903e-4,0.005076499209653216,1
1704,22531083.3681258,5528444.523192727,1244474567.424632,9.810085895181004e-4,0.004998074597627339,1
1705,28689628.773832507,6741465.166554186,1249992883.465022,9.632192473430386e-4,0.004872586654276532,1
1706,34701935.1180617,7933996.25773021,1256519225.4632258,9.390085288019754e-4,0.004719041647262676,1
1707,40541666.37377059,9099199.220377246,1263947144.031769,9.095826395022475e-4,0.004546950015654059,1
1708,46191951.00722758,10231910.75306259,1272174144.319201,8.766062157687234e-4,0.004364191384489302,1
1709,51643957.38271882,11328736.461891755,1281103106.077113,8.415781283552228e-4,0.004177371430671843,1
1710,56895480.61005111,12387826.922233256,1290643346.2891517,8.057529247081017e-4,0.003991741108193591,1
1711,61949519.39988172,13408614.471394556,1300711290.9693115,7.701301049352464e-4,0.0038112536506892266,1
1712,66812969.8817255,14391550.945622295,1311230805.219422,7.354658184026068e-4,0.003638709934514357,1
1713,71495442.30389737,15337851.772883458,1322133199.332606,7.023000458582007e-4,0.003475952325880846,1
1714,76008319.40464053,16249277.186893975,1333357008.032641,6.709918758873989e-4,0.003324054512113212,1
1715,80363980.39742199,17127946.871878285,1344847746.1195703,6.417530966324439e-4,0.0031835009330604693,1
1716,84575264.3075681,17976199.301478848,1356557299.872925,6.146827732204077e-4,0.003054341416968671,1
1717,88655003.5100265,18796471.112306736,1368443629.1502283,5.897951270069443e-4,0.002936316138429198,1
1718,92615735.93147604,19591214.807661746,1380470208.9334722,5.670441659574772e-4,0.0028289561474872413,1
1719,96469481.15199913,20362832.727634665,1392605521.5681176,5.463430970688469e-4,0.0027316644478109927,1
1720,100227663.87090617,21113646.07148113,1404822461.5057225,5.275794474448541e-4,0.0026437704160411214,1
1721,103900984.1517804,21845856.724802833,1417098016.8837376,5.106259703898492e-4,0.002564574786368197,1
1722,107499431.5050381,22561540.30424014,1429412753.5841005,4.953487776621188e-4,0.0024933754324916887,1
1723,111032096.87471007,23262599.855014134,1441750727.3756251,4.816152018052637e-4,0.0024294979213762393,1
1724,114507576.63478392,23950845.192469057,1454098409.4355514,4.692936806616637e-4,0.002372288878218794,1
1725,117933666.27043696,24627925.088954356,1466444980.7659101,4.582595369054014e-4,0.0023211399907717926,1
1726,121317489.68510193,25295351.319107935,1478781871.5329852,4.483958900830722e-4,0.0022754871234838205,1
1727,124665623.31309868,25954523.04749126,1491102343.2542288,4.395933109539807e-4,0.002234807611388259,1
1728,127984043.1844258,26606713.940050803,1503401396.9554496,4.317513741148534e-4,0.002198624204103269,1
1729,131278215.05744183,27253090.64532032,1515675505.2767735,4.247778002927945e-4,0.002166501446199308,1
1730,134553061.1697009,27894704.64790051,1527922451.9136143,4.185892859791131e-4,0.0021380474827675283,1
1731,137813205.42331728,28532544.305440344,1540141057.2008994,4.1310838775431604e-4,0.002112899120871321,1
1732,141062715.5682734,29167479.27348896,1552331133.9869394,4.0826681548114665e-4,0.002090736077083823,1
1733,144305426.16495097,29800329.637651913,1564493304.8981435,4.0400108486977193e-4,0.0020712615371073365,1
1734,147544759.13913444,30431827.18128807,1576628880.8531976,4.0025475283260616e-4,0.0020542116614265843,1
1735,150783876.7951633,31062648.128609426,1588739766.4329267,3.969762659250142e-4,0.0020393453659319567,1
1736,154025658.88658875,31693408.230743818,1600828363.0805552,3.9411911100239576e-4,0.002026444929035634,1
1737,157272697.84673595,32324661.811683033,1612897452.0951803,3.9164161458617305e-4,0.002015315527234178,1
1738,160527407.38494152,32956924.933006726,1624950192.0653079,3.8950550379404625e-4,0.002005778004610204,1
1739,163791971.30117804,33590664.46278988,1636989992.3305943,3.8767636412660484e-4,0.00199767096377333,1
1740,167068385.82625481,34226307.26226126,1649020484.4154482,3.861229891380226e-4,0.0019908479251873365,1
1741,170358450.08169356,34864238.10613093,1661045418.428096,3.848173188638789e-4,0.001985177239147122,1
1742,173663844.29343832,35504816.45455899,1673068740.5705805,3.8373342780013964e-4,0.0019805370768313955,1
1743,176986079.68600643,36148365.70964259,1685094434.275727,3.8284801177293953e-4,0.001976817763490177,1
1744,180326537.43384144,36795181.65706692,1697126542.993281,3.821398690662736e-4,0.0019739193701193837,1
1745,183686462.5377938,37445531.08802797,1709169089.6425674,3.8158984616661133e-4,0.0019717516675873668,1
1746,187067013.80377427,38099662.54124578,1721226172.3186843,3.8118019279968486e-4,0.0019702309855934054,1
1747,190469221.54149058,38757797.205512755,1733301777.8388622,3.808950459948282e-4,0.0019692824472274674,1
1748,193894035.18282118,39420139.15548898,1745399903.7053015,3.807197879139095e-4,0.001968837029651248,1
1749,197342303.11798683,40086870.98103365,1757524429.3625267,3.806412675742095e-4,0.0019688326401914855,1
1750,200814815.69931412,40758163.03813452,1769679247.3148892,3.806472128134113e-4,0.0019692114742493306,1
1751,204312271.0683256,41434166.03332955,1781868096.6375496,3.807266988080049e-4,0.0019699218413264307,1
1752,207835302.6471444,42115016.972967,1794094637.6728885,3.8086972381758545e-4,0.0019709166098638526,1
1753,211384468.37518692,42800836.75810744,1806362343.91502,3.810673770020068e-4,0.0019721538243758644,1
1754,214960302.43891567,43491741.3621549,1818674770.8981605,3.8131113318214875e-4,0.001973593415220119,1
1755,218563261.24615878,44187830.05055574,1831035212.7078202,3.8159363550686914e-4,0.001975200509954773,1
1756,222193757.66239992,44889192.910671875,1843446887.06185,3.819080766323264e-4,0.0019769434566239033,1
1757,225852155.58312067,45595909.468093716,1855912839.9186978,3.822484489033181e-4,0.001978794058958409,1
1758,229538794.4446087,46308054.065563545,1868436112.9856524,3.826091249651552e-4,0.0019807260071504026,1
1759,233253965.7840968,47025690.70608777,1881019535.2226305,3.8298521169273265e-4,0.0019827164823410853,1
1760,236997932.55686563,47748877.256297424,1893665847.2851837,3.833722499303883e-4,0.0019847448971498398,1
1761,240770927.49642494,48477665.00935277,1906377675.6711843,3.8376631162071384e-4,0.001986792972895356,1
1762,244573153.5400529,49212098.7734562,1919157479.2097461,3.8416394465900106e-4,0.001988844863213226,1
1763,248404794.82135028,49952219.24557974,1932007652.2367454,3.84562037706891e-4,0.0019908863324320206,1
1764,252266016.92340007,50698063.03058633,1944930502.6231744,3.849578302209065e-4,0.0019929047797776923,1
1765,256156962.3925972,51449661.64079973,1957928178.5183754,3.853489756602176e-4,0.0019948896225597144,1
1766,260077759.17481393,52207043.31075787,1971002739.327727,3.857334283879176e-4,0.001996831718370239,1
1767,264028519.00263274,52970232.61758021,1984156097.545691,3.86109482197582e-4,0.0019987235044684375,1
1768,268009348.28952813,53739252.86630223,1997390169.236269,3.864755956965038e-4,0.0020005582149056787,1
1769,272020338.353724,54514123.90862195,2010706693.5896916,3.86830561648328e-4,0.0020023306437750004,1
1770,276061573.0903308,55294863.83383933,2024107334.7089777,3.871733675426335e-4,0.002004036656689318,1
