Time,N,N_NonHIV,N_HIV,N_ART,PrHIV,PrART,IncR_apx,MorR_apx,CNR_apx,CumInc,CumMor,CumACF,IncR,IncR_NonHIV,IncR_PLHIV,MorR,DetR,CNR,PrLat,PrRecent,Prev,PrevA,PrevS,PrevC,Key,Scenario
2015.0,,,,,,,0.013263785446390822,0.0017157708703017134,0.006050386502807105,211157093.63714805,26516136.228156745,0.0,0.013262303467526564,0.012986367752382029,0.01536815426542804,0.00171539944318422,0.008133841944855016,0.006049500217586454,0.7339808259714139,0.9345903806065412,0.014692710474933469,0.007208585342513785,0.0028297239092255214,0.0015159304838410818,0,Baseline
2016.0,54974416.51676911,48605497.70177503,2883911.648377103,3485007.166616989,0.1158524131502396,0.5471897613787093,0.01327726350045905,0.0017274533820776643,0.006080168285637283,211891838.56767368,26611454.499961987,0.0,0.013274954989071096,0.013095170861132165,0.014611215399091874,0.0017271989295377075,0.00817371883118013,0.006079158432503297,0.7382677006593545,0.9366453092433362,0.014868545532821794,0.007351800492874925,0.002839675293405198,0.0015250870922113064,0,Baseline
2017.0,55774386.193041526,49160233.9488471,2634711.897232488,3979440.3469619486,0.11858762947748272,0.6016553898430289,0.013321907841216741,0.0017429079239290692,0.006123584057706113,212638680.94384038,26708900.53461657,0.0,0.013319367094682313,0.013227340832970929,0.01398715042992141,0.0017426910472798248,0.008232140105665222,0.006122608934136341,0.743246743971948,0.9386682765280276,0.015080659458328873,0.007514439452531773,0.002855982246776136,0.0015376686386343159,0,Baseline
2018.0,56555411.433805466,49705559.68834096,2393113.0106951445,4456738.734769349,0.121117530079006,0.6506328750429232,0.013400779900656416,0.0017618666770967506,0.0061813729348266415,213399316.52862242,26808668.38084193,0.0,0.013398590787120654,0.013381024829996237,0.013523333394787555,0.0017616799496719435,0.00830992995262626,0.006180464705038367,0.7487794361140151,0.9405563409694749,0.015326839486190062,0.007693231776531988,0.0028794687139662633,0.0015536565200414993,0,Baseline
2019.0,57318631.167143054,50243465.88082574,2177556.4960178854,4897608.790299418,0.1234356986943021,0.6922253533455858,0.013510401834902357,0.0017842854170724656,0.006252743821250241,214175510.54468095,26910951.497792937,0.0,0.013508831406546946,0.013553625631628171,0.013196819634823947,0.0017840003700679632,0.008406106469080058,0.00625199546026669,0.7547222494653266,0.9422843080693099,0.01560258974151366,0.007884433145197635,0.0029096796631685224,0.0015728887629802514,0,Baseline
2020.0,58065655.34976594,50775962.74787214,1992211.6418798256,5297480.960013982,0.12554224279366877,0.7267084154738892,0.01369417946041553,0.0018284737379408802,0.006623727290323853,214970013.67093194,27016599.351340316,0.0,0.013684616800018002,0.01377835355169992,0.013042831495222368,0.0018318542614745757,0.008324675742779074,0.006191431805376041,0.7611323488473689,0.9440727777473402,0.01600757360736832,0.008095946938136315,0.0029569212142272847,0.0016372277621433061,0,Baseline
2021.0,58796465.8148263,51303298.659113646,1834227.0385198696,5658940.11719279,0.1274424755275539,0.7552133830190233,0.013822502414981883,0.0018419051161576777,0.006559481954155597,215783066.3817968,27124738.996839624,0.0,0.013804465346285823,0.013956464974818106,0.012779471653173996,0.001824457237309836,0.009129192515982256,0.006789786731318935,0.7675296062931461,0.9452832511254229,0.01625841321529127,0.008301155614487514,0.002906870339892815,0.0016296546553913644,0,Baseline
2015.0,,,,,,,0.008136192552407714,0.0010758669597590643,0.003838542024742699,130041831.05659497,16492139.36877264,0.0,0.008135301406181288,0.007693495748591579,0.011508701745907153,0.0010756070368750782,0.005304503249991621,0.0038378653675351063,0.6565330365829949,0.8958115067484197,0.008393859227582678,0.003947073607923562,0.0015825820888923643,0.0008200503696175037,1,Baseline
2016.0,54987385.72099413,48619777.22889507,2881998.627523104,3485609.8645759593,0.11580125893615482,0.54739701237928,0.008150279701222899,0.001087515411678806,0.003868986451991103,130492801.66987246,16552041.95240996,0.0,0.008148813051762049,0.0077749589063740646,0.010929504258799355,0.0010873457305493799,0.005346597532083682,0.0038683210350690463,0.6615788215176197,0.898931019084457,0.008523765205737024,0.004044847708663056,0.0015922882215699556,0.000827692087797681,1,Baseline
2017.0,55787544.42998086,49176003.806504875,2633227.9411889766,3978312.682287013,0.11851284531395995,0.6017224893334214,0.00818393320535743,0.0011017779129078344,0.003908789929317816,130951535.7231673,16613531.196022019,0.0,0.008182358723815052,0.007870518155497608,0.010447336584660152,0.001101635350769515,0.005401635003642326,0.003908141239913206,0.6675567310766108,0.9019635140106222,0.008675772605357086,0.0041537957388323036,0.0016059009114449364,0.0008373140690809465,1,Baseline
2018.0,56568753.832030624,49722934.91658741,2392011.0963476524,4453807.819095557,0.12101767233145125,0.6505880266637479,0.008238671664890552,0.001118270355001642,0.003957651334026275,131419103.60533172,16676743.71041439,0.0,0.00823743573312759,0.007977921151885446,0.010082499002762849,0.001118166441863118,0.00546931733624727,0.003957110138234831,0.6743122951199936,0.9047707096139024,0.008847194202066689,0.0042714580523958825,0.001623454049268776,0.0008487887997714088,1,Baseline
2019.0,57332153.25938318,50262550.32755529,2176781.8196116816,4892821.112216202,0.12330956592269361,0.6920927751385235,0.008311027706568998,0.0011367263809886393,0.004014372481427315,131896567.4620988,16741803.400310878,0.0,0.00831031605975328,0.008094374383540817,0.009816549122517313,0.0011365913323259716,0.0055479631493587644,0.004014011233063267,0.6816744279396167,0.9073163219587449,0.009033739113450567,0.004394756370242224,0.0016444396932595027,0.0008618658798949744,1,Baseline
